Email,First usage,Last usage,Account id,Account name
10225395,2012-09-04,2013-09-25,3,3
10572763,2012-09-04,2013-09-25,3,3
10875702,2012-11-29,2013-09-23,3,3
10884511,2012-09-11,2013-09-23,3,3
11154170,2012-09-03,2013-09-25,3,3
11840498,2012-09-06,2013-05-08,3,3
11890080,2012-12-07,2013-05-18,3,3
1219128,2012-09-04,2013-09-24,3,3
1219136,2012-09-04,2013-07-08,3,3
12244552,2012-09-28,2013-04-25,3,3
12608063,2012-09-10,2013-09-25,3,3
13007215,2012-09-04,2013-09-24,3,3
13053939,2012-09-04,2012-12-21,3,3
13355539,2012-09-03,2013-09-25,3,3
1416606,2012-09-04,2013-09-24,3,3
14190343,2012-09-28,2013-09-19,3,3
14307529,2013-03-27,2013-09-25,3,3
15305759,2012-10-03,2013-01-10,3,3
1601,2012-09-05,2013-09-25,3,3
1773537,2012-09-07,2013-09-08,3,3
1827167,2012-09-12,2013-09-19,3,3
18328471,2012-09-07,2013-09-24,3,3
18468630,2012-09-03,2013-09-25,3,3
18468735,2012-09-03,2013-09-25,3,3
19171697,2012-09-11,2013-05-07,3,3
19523033,2012-09-13,2013-09-15,3,3
19905068,2012-09-04,2013-09-25,3,3
19905127,2012-09-04,2013-09-25,3,3
20047897,2013-06-11,2013-07-11,3,3
20204469,2012-09-06,2013-09-04,3,3
20420999,2012-09-04,2013-09-20,3,3
20503744,2012-09-10,2013-09-25,3,3
20659495,2012-09-06,2012-10-15,3,3
20792855,2012-12-14,2013-09-09,3,3
20803532,2012-09-03,2013-09-25,3,3
20811763,2012-09-09,2013-09-25,3,3
20812819,2012-09-13,2012-10-29,3,3
20814206,2012-09-07,2013-09-06,3,3
20846635,2013-02-11,2013-09-04,3,3
20877010,2012-09-24,2013-02-11,3,3
20995445,2012-10-15,2013-05-30,3,3
21014776,2012-10-23,2013-09-11,3,3
21026113,2012-11-09,2013-06-27,3,3
21033242,2012-11-14,2013-09-25,3,3
21045797,2012-11-28,2013-09-25,3,3
21078534,2013-01-07,2013-09-13,3,3
21103338,2013-01-30,2013-01-30,3,3
21107342,2013-02-13,2013-09-25,3,3
21130868,2013-03-01,2013-03-01,3,3
21133454,2013-03-05,2013-09-24,3,3
21137946,2013-03-07,2013-09-25,3,3
21141432,2013-03-11,2013-03-11,3,3
21151252,2013-03-20,2013-09-25,3,3
21163723,2013-04-02,2013-04-03,3,3
21163874,2013-05-30,2013-09-16,3,3
21163875,2013-04-22,2013-06-11,3,3
21163876,2013-04-18,2013-06-04,3,3
21190029,2013-04-30,2013-09-25,3,3
21190030,2013-04-30,2013-09-13,3,3
21194483,2013-05-01,2013-09-25,3,3
21215588,2013-05-20,2013-09-25,3,3
21237309,2013-06-11,2013-09-25,3,3
21248475,2013-06-20,2013-09-25,3,3
21304704,2013-08-07,2013-08-30,3,3
21334407,2013-08-07,2013-09-17,3,3
